iter	Logloss
257	0.5976613343
258	0.5975376393
259	0.5973621802
260	0.5970531015
261	0.5969141157
262	0.5966278913
263	0.5964535129
264	0.5962787592
265	0.5961107409
266	0.5959621677
267	0.5957746405
268	0.5955928497
269	0.5953280103
270	0.5951361644
271	0.5949964138
272	0.5948628813
273	0.5945524363
274	0.594360545
275	0.5941911685
276	0.5937858504
277	0.593689108
278	0.593424223
279	0.5932359941
280	0.5929363544
281	0.5927701981
282	0.5925483228
283	0.5923585189
284	0.5922348856
285	0.5919981706
286	0.5918299139
287	0.5915842064
288	0.591395575
289	0.5912992433
290	0.5910918839
291	0.5909208446
292	0.5907771619
293	0.5904840441
294	0.5903419642
295	0.5901125037
296	0.5899022373
297	0.5897173209
298	0.5894546516
299	0.5892895347
300	0.5890751512
301	0.5888965048
302	0.588700566
303	0.588565957
304	0.5884597042
305	0.5882985509
306	0.5879562618
307	0.5878424944
308	0.5877207332
309	0.5875153049
310	0.587378116
311	0.5871929886
312	0.5870264019
313	0.5868459091
314	0.5866199489
315	0.5864658767
316	0.5862940455
317	0.5861493341
318	0.5859452925
319	0.5857944157
320	0.5855170741
321	0.5852174149
322	0.5850581099
323	0.5849584156
324	0.5847708966
325	0.5846240973
326	0.5844177994
327	0.5842903337
328	0.5841733231
329	0.584034831
330	0.5838852979
331	0.5837216829
332	0.5835344646
333	0.5834317804
334	0.5832265188
335	0.5829408144
336	0.5828306627
337	0.5824843099
338	0.5823385295
339	0.5821914302
340	0.5819795013
341	0.5817087212
342	0.5815807922
343	0.581330899
344	0.5811914609
345	0.5808569355
346	0.5805726072
347	0.5803153903
348	0.5801815143
349	0.5799024118
350	0.579699445
351	0.5795461748
352	0.5793570174
353	0.5790563507
354	0.5789965127
355	0.5788532715
356	0.5786296448
357	0.5784105871
358	0.5782678427
359	0.5781596326
360	0.5780047611
361	0.5777867416
362	0.577602313
363	0.5772987063
364	0.5771405828
365	0.5769590853
366	0.5767600423
367	0.5765241499
368	0.5763039717
369	0.5759995993
370	0.5759019724
371	0.5757477004
372	0.575405192
373	0.5752613956
374	0.5750949806
375	0.5749692247
376	0.5748266784
377	0.5746074299
378	0.5745077445
379	0.5743240251
380	0.5741691595
381	0.5740451796
382	0.5738909388
383	0.573724168
384	0.5735765918
385	0.5733899198
386	0.5732209776
387	0.5730724724
388	0.5728822111
389	0.5727260628
390	0.5726114302
391	0.5724090808
392	0.5722995897
393	0.5721345287
394	0.5718714513
395	0.5716493619
396	0.571506799
397	0.5712810839
398	0.5712188496
399	0.5709228519
400	0.5707493565
401	0.5704735383
402	0.5702815587
403	0.5700923089
404	0.5699561968
405	0.5698341266
406	0.5697060704
407	0.5695479333
408	0.5694084669
409	0.5691508413
410	0.5690000176
411	0.5688767285
412	0.568714167
413	0.5685491875
414	0.5683999146
415	0.5683010178
416	0.5681323708
417	0.5679510771
418	0.5677743157
419	0.5675882983
420	0.5674036937
421	0.5673024443
422	0.5671261841
423	0.5669667901
424	0.5667568953
425	0.5666183907
426	0.5664423529
427	0.566298471
428	0.5661646412
429	0.5660633592
430	0.5659170862
431	0.5657595232
432	0.5656245721
433	0.5654110171
434	0.5652092016
435	0.5650820015
436	0.5649106344
437	0.5647552715
438	0.5646309062
439	0.5645105689
440	0.564409807
441	0.5641998534
442	0.5640539066
443	0.5639125666
444	0.563776438
445	0.5636214802
446	0.5634853023
447	0.5633698079
448	0.563173386
449	0.5629304131
450	0.5627760819
451	0.5626533293
452	0.562519963
453	0.5624152442
454	0.5623012539
455	0.5620881638
456	0.5619298416
457	0.561734743
458	0.5614775517
459	0.5613441382
460	0.5612074544
461	0.5611042538
462	0.5609499837
463	0.5607819429
464	0.5606653536
465	0.5605177958
466	0.5603655344
467	0.5601503689
468	0.5599180068
469	0.5597667192
470	0.5596508085
471	0.5595016546
472	0.5593167497
473	0.5591628581
474	0.5590164772
475	0.5588636854
476	0.5587793908
477	0.5586983338
478	0.5583884276
479	0.5582207813
480	0.5581223349
481	0.5579335215
482	0.5577823771
483	0.5575777939
484	0.5573727146
485	0.5572176631
486	0.5570777466
487	0.5568824791
488	0.5567673103
489	0.5565892109
490	0.5563413896
491	0.5561778143
492	0.5559708038
493	0.5558106333
494	0.5556314065
495	0.5554887696
496	0.5552277056
497	0.5550554823
498	0.5548640642
499	0.5546875122
