iter	Logloss
0	0.6919444057
1	0.6910105827
2	0.6900301784
3	0.689038766
4	0.6880590799
5	0.6869689995
6	0.6860038316
7	0.6849785716
8	0.6841388059
9	0.6831963496
10	0.6822195423
11	0.6813544101
12	0.6804910036
13	0.679629291
14	0.6787899445
15	0.6779083018
16	0.6770853591
17	0.6762625446
18	0.6753714475
19	0.6745800499
20	0.6738688863
21	0.6730443693
22	0.6721726912
23	0.6715664691
24	0.6708370622
25	0.6701021141
26	0.6694642635
27	0.6688509257
28	0.668033635
29	0.6673717861
30	0.6666854157
31	0.6659893347
32	0.6654585477
33	0.6647639687
34	0.6640055752
35	0.6634227906
36	0.6627217237
37	0.662197018
38	0.6616814263
39	0.6611127537
40	0.6604981238
41	0.6598651251
42	0.6593026607
43	0.6586657073
44	0.6581666964
45	0.6577159895
46	0.65717246
47	0.6565409079
48	0.6559953832
49	0.6555504683
50	0.6550782052
51	0.6545984271
52	0.6540823326
53	0.6536787958
54	0.6531713297
55	0.6526640401
56	0.6522291843
57	0.6516429932
58	0.6512132132
59	0.6506992058
60	0.650278362
61	0.6496732569
62	0.6491747688
63	0.6488528254
64	0.6484658482
65	0.6479889466
66	0.6475586049
67	0.6470667798
68	0.6465856491
69	0.6461660709
70	0.6458560725
71	0.6453481356
72	0.6448942989
73	0.6445955366
74	0.6441126055
75	0.6436046579
76	0.6431555721
77	0.642837187
78	0.6425816005
79	0.6421055763
80	0.6418442928
81	0.641398793
82	0.6409148471
83	0.6405260816
84	0.6402447103
85	0.639908621
86	0.6395003614
87	0.6392430483
88	0.6389509283
89	0.638730038
90	0.638363538
91	0.638072131
92	0.6377236977
93	0.6374012518
94	0.637112228
95	0.6367302172
96	0.6363203946
97	0.6360091939
98	0.6356839989
99	0.6353834311
100	0.635133954
101	0.6348560222
102	0.6345109929
103	0.6342110479
104	0.6339652477
105	0.6336726665
106	0.6333063493
107	0.6327962805
108	0.6324683915
109	0.6321686727
110	0.6318857426
111	0.6314908334
112	0.6311581546
113	0.6308028991
114	0.6304602641
115	0.6302457662
116	0.6300302749
117	0.6297599623
118	0.6293687704
119	0.629183148
120	0.6290014961
121	0.6287268637
122	0.6283815862
123	0.6281436604
124	0.6278856506
125	0.6276723955
126	0.6274142059
127	0.6271617008
128	0.6269303831
129	0.6266594231
130	0.6262538238
131	0.6259865788
132	0.6256931119
133	0.6254641229
134	0.6252201256
135	0.6250313061
136	0.6247696671
137	0.6245111555
138	0.6241900077
139	0.623904738
140	0.6235745931
141	0.6233911905
142	0.6230698608
143	0.6228281991
144	0.6225392284
145	0.6223642411
146	0.6222418672
147	0.6220117027
148	0.6217621712
149	0.621446124
150	0.6212309964
151	0.6209672991
152	0.620795992
153	0.6205733832
154	0.620283268
155	0.6201360791
156	0.6199257669
157	0.6196516775
158	0.6194001585
159	0.6191771076
160	0.6189986089
161	0.6187463701
162	0.6185520658
163	0.6183050914
164	0.6179574396
165	0.6177287257
166	0.6173820152
167	0.6172300587
168	0.6170446618
169	0.616643763
170	0.6164526994
171	0.6162411626
172	0.61594639
173	0.6157487353
174	0.6155109313
175	0.6152521354
176	0.6149992116
177	0.6148338734
178	0.6146650795
179	0.614455949
180	0.6142873921
181	0.6141348476
182	0.6139558676
183	0.6137598397
184	0.6135208412
185	0.61332368
186	0.6130820009
187	0.6129500658
188	0.6126119695
189	0.6124665902
190	0.6121323164
191	0.6117623635
192	0.61158502
193	0.6112780009
194	0.6109660905
195	0.6107407385
196	0.6105218818
197	0.6103176338
198	0.6100699993
199	0.6098560184
200	0.6096128883
201	0.6093334168
202	0.609217834
203	0.6090756452
204	0.6089285765
205	0.6087257475
206	0.6085531151
207	0.6082613741
208	0.6079438523
209	0.6076591198
210	0.607395624
211	0.6071262206
212	0.6069177755
213	0.6067461777
214	0.6065719391
215	0.6063960406
216	0.6061972376
217	0.6059842262
218	0.6057518293
219	0.6055555331
220	0.6052914493
221	0.6049059606
222	0.6046592287
223	0.6045098208
224	0.6041806524
225	0.6039828003
226	0.6037802624
227	0.6035974534
228	0.6033880612
229	0.6031889858
230	0.6030337154
231	0.6028458994
232	0.6025710112
233	0.6023589328
234	0.6022370513
235	0.6019937185
236	0.601840444
237	0.6016263403
238	0.6013702884
239	0.6012254238
240	0.6009835636
241	0.600788636
242	0.6006731422
243	0.6004182137
244	0.6001543831
245	0.5999415325
246	0.59973271
247	0.5996102806
248	0.5993640693
249	0.5990830569
250	0.5989254142
251	0.5988118226
252	0.598621376
253	0.5984370076
254	0.5983047749
255	0.5980449377
256	0.5978150424
